Date_,Close_MSFT,High_MSFT,Low_MSFT,Open_MSFT,Volume_MSFT,MA30_,STD30_,Upper_Band_,Lower_Band_
2025-10-09,519.1123657226562,521.0302122328587,514.1438325922749,519.0527457511332,18343600,,,,
2025-10-10,507.74432373046875,520.2849266906686,506.42270727517143,516.3697201998212,24133800,,,,
2025-10-13,510.81488037109375,513.1600134586593,508.45980051307464,513.1600134586593,14284200,,,,
2025-10-14,510.337890625,512.0371506947121,502.815524609146,507.0189143190136,14684300,,,,
2025-10-15,510.1987609863281,513.935107423202,506.7903547024341,511.71916116293283,14694700,,,,
2025-10-16,508.3902282714844,513.597241245564,504.93214864922606,509.3541552294708,15559600,,,,
2025-10-17,510.347900390625,512.2359067167633,504.1173400169688,505.8364635131052,19867800,,,,
2025-10-20,513.53759765625,515.4356111738924,510.19875812962454,511.37132460679527,14665600,,,,
2025-10-21,514.4021606445312,515.4257076122852,509.81124074780416,514.2431942660954,15586200,,,,
2025-10-22,517.2640380859375,521.9245247034462,514.4518919333965,517.8702452376143,18962700,,,,
2025-10-23,517.283935546875,520.6526156742948,515.3461954332505,519.1720024577996,14023500,,,,
2025-10-24,520.314697265625,522.0437370421222,517.4329845218087,519.499850577073,15532400,,,,
2025-10-27,528.1749877929688,531.2157277722118,525.6807743511338,528.4333612309177,18734700,,,,
2025-10-28,538.6585693359375,550.2352153811122,537.366762825241,546.5386557673307,29986700,,,,
2025-10-29,538.141845703125,542.8321728172806,533.3521721804118,541.510525937623,36023000,,,,
2025-10-30,522.451171875,531.6031704966998,518.8340654321457,527.1414377363435,41023100,,,,
2025-10-31,514.5512084960938,525.9887810857076,511.85824179468614,525.5515477587454,34006400,,,,
2025-11-03,513.776123046875,521.6562086548496,511.3514766558802,516.5385956979154,22374700,,,,
2025-11-04,511.0931701660156,512.3054631947169,504.64399323613884,508.53933673798264,20958700,,,,
2025-11-05,503.9682312011719,511.58997398954807,503.39186440425516,510.0695738143288,23024300,,,,
2025-11-06,493.9715576171875,502.51744045426454,492.6896676102462,502.47768369906356,27406500,,,,
2025-11-07,493.6933288574219,496.2372153715257,490.1457889557352,493.8225155697467,24019800,,,,
2025-11-10,502.8155212402344,503.6601778844964,495.66082185127294,496.8930386116327,26101500,,,,
2025-11-11,505.4786682128906,506.39289163210333,499.18851875070465,501.6230817360039,17980000,,,,
2025-11-12,507.9232177734375,508.4498810705414,495.9788447581273,506.1543908722183,26574900,,,,
2025-11-13,500.1225891113281,510.26832472026865,498.1351759673349,507.098398329558,25273100,,,,
2025-11-14,506.96923828125,508.38031503091224,494.30942559248354,495.0944623167857,28505700,,,,
2025-11-17,504.296142578125,508.8970088955905,501.7323929449627,505.2501227292945,19092800,,,,
2025-11-18,490.6824035644531,499.8145698875434,483.71651040889276,492.2524466910109,33815100,,,,
2025-11-19,484.0543518066406,492.0735713081103,479.79134202204426,487.0156083775533,23245300,510.685703531901,12.145191618000013,534.976086767901,486.395320295901
2025-11-20,476.3088684082031,491.3817596467919,473.39186588492817,490.5255566668064,26802500,509.25892028808596,13.553662882447545,536.3662460529811,482.15159452319085
2025-11-21,470.0268249511719,476.796695003642,466.19388806310616,476.3785437287191,31769200,508.001670328776,15.331727894149347,538.6651261170747,477.33821454047734
2025-11-24,471.8985290527344,474.7856658755464,465.9450303435204,472.8940955697233,34421000,506.70445861816404,16.673160798098323,540.0507802143607,473.3581370219674
2025-11-25,474.8752136230469,477.0256407210385,462.82888433135173,471.9681767111092,28019800,505.5223693847656,17.635987305660795,540.7943439960873,470.25039477344404
2025-11-26,483.3475036621094,486.14504291080743,479.06658014921754,484.1539100429923,25709100,504.62732747395836,18.066578430962114,540.7604843358826,468.4941706120341
2025-11-28,489.82867431640625,490.44592067381114,484.49242217644115,485.4382224868377,14386700,504.00860900878905,18.25017030298652,540.5089496147621,467.50826840281604
2025-12-01,484.5820007324219,487.68816317334665,482.5012705124726,486.27447583839387,23964000,503.149745686849,18.545442673083993,540.2406310330169,466.058860340681
2025-12-02,487.82757568359375,491.312058367048,484.16389832530854,484.56211884124775,19562700,502.29274495442706,18.642644654484506,539.578034263396,465.00745564545804
2025-12-03,475.6119689941406,482.09308589504883,473.0931871020635,474.2082166599713,34615100,500.99973856608074,19.113064392393955,539.2258673508686,462.7736097812928
2025-12-04,478.7081604003906,479.186043226252,474.3774403367437,477.6329620200481,22318200,499.71454264322915,19.27728951920311,538.2691216816354,461.1599636048229
2025-12-05,481.01788330078125,481.2568095233099,476.7568601661199,480.3807061976695,22608700,498.50567423502605,19.27464250191524,537.0549592388566,459.95638923119554
2025-12-08,488.8430480957031,490.11737199051475,482.2325023858298,482.74025101921535,21965900,497.4566192626953,18.899517264435765,535.2556537915668,459.6575847338238
2025-12-09,489.8385925292969,489.93815525049575,486.33420957194573,486.93155551686203,14696100,496.1787394205729,18.02678820003093,532.2323158206348,460.1251630205111
2025-12-10,476.4382629394531,482.10303829287767,472.973680864489,481.88401246545567,35756200,494.1047292073568,16.484153940179002,527.0730370877149,461.1364213269988
2025-12-11,481.3265075683594,483.8751552220924,473.750231167373,474.51683677020293,24669200,492.2108846028646,14.379713320240308,520.9703112433452,463.451457962384
2025-12-12,476.4084167480469,480.31105063829824,474.22812377070755,477.69270598810584,21248100,490.67612609863284,13.469105141420437,517.6143363814737,463.73791581579195
2025-12-15,472.7148742675781,478.588710310573,470.42505317808707,477.97146396596463,23727700,489.281581624349,13.071858935869493,515.425299496088,463.13786375261
2025-12-16,474.2779235839844,475.7712732838117,468.79234263095657,469.8177748762136,20705600,487.96497497558596,12.496144216633532,512.957263408853,462.9726865423189
